epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.848,0.88805,1.44335,1.44618,1.07949,0.78481,0.67894,0.78981,0.53952,0.17455,0.16602,0.1473,0.07538,0.94566,62.1446,1.5814,1.08953,0.0703,0.0003,0.0003
2,800.344,0.7604,1.07509,0.73516,1.00183,0.56257,0.80382,0.6449,0.45782,0.5006,0.72961,0.54013,0.27545,0.88723,4.10185,3.03287,1.0475,0.039604,0.000603961,0.000603961
3,1160.8,0.75417,1.10817,0.74279,1.00115,0.71324,0.80203,0.79448,0.5533,0.71788,0.76591,0.77569,0.4782,0.87069,1.72134,2.09346,1.06142,0.00890178,0.000901784,0.000901784
4,1532.45,0.76749,1.01611,0.68071,0.9985,0.75726,0.85572,0.85277,0.635,0.7503,0.84973,0.84002,0.62465,0.76873,1.13865,1.09417,1.06641,0.0009703,0.0009703,0.0009703
5,1910.35,0.73546,0.97502,0.63709,0.99135,0.81928,0.83472,0.86064,0.62844,0.82124,0.79685,0.83515,0.6012,0.8074,1.21273,0.98409,1.05224,0.0009604,0.0009604,0.0009604
6,2280.6,0.70503,0.96459,0.62457,0.98163,0.88697,0.87144,0.88908,0.65076,0.85394,0.85413,0.83525,0.58444,0.77391,1.06006,0.72963,1.05171,0.0009505,0.0009505,0.0009505
7,2647.9,0.72814,0.98553,0.61528,0.99219,0.92237,0.86284,0.91021,0.69734,0.91005,0.83405,0.8829,0.63894,0.74587,1.05818,0.70304,1.06776,0.0009406,0.0009406,0.0009406
8,3063.76,0.68059,0.91657,0.59041,0.97224,0.92475,0.88927,0.932,0.72859,0.91952,0.87918,0.92032,0.695,0.65939,0.95471,0.64254,0.99057,0.0009307,0.0009307,0.0009307
9,3493.41,0.67477,0.92108,0.56906,0.96324,0.92962,0.89165,0.91935,0.7092,0.92166,0.87079,0.90078,0.66065,0.71951,0.99508,0.64832,1.03044,0.0009208,0.0009208,0.0009208
10,4106.44,0.66942,0.926,0.57989,0.96277,0.94235,0.8917,0.92029,0.69677,0.93685,0.87532,0.90236,0.64771,0.67418,0.98018,0.66855,1.01831,0.0009109,0.0009109,0.0009109
